English Question,Tamil Question,Tamil Answer
What is a Noun?,பெயர்ச்சொல் என்றால் என்ன?,"ஆள், இடம், பொருள், குணம்"
What is a Pronoun?,பதிற்பெயர்/பிரதிப்பெயர்/சுட்டுப்பெயர்ச்சொல் என்றால் என்ன?,"பெயர்ச்சொல்லுக்குப் பதிலாக வருவது. காட்டு: இவன், இவள், இது, அது"
What is a Verb?,வினைச்சொல் என்றால் என்ன?,"செயலைக் குறிப்பது. காட்டு – எழுது, ஆடு, ஓடு"
What is an Adjective?,பெயரடை/பெயரெச்சம்/பெயருரிச்சொல் என்றால் என்ன?,"பெயர்ச்சொல்லை விவரிக்கும் (வர்ணிக்கும்) சொல். காட்டு: சிறிய, அழகிய, இனிமையான"
What is an Adverb?,வினையடை/வினையெச்சம்/வினையுரிச்சொல் என்றால் என்ன?,"வினைச்சொல்லை விவரிக்கும் (சிறப்பிக்கும்) சொல். காட்டு: மெல்ல, உதவியாக"
What is a Preposition?,முன்னிடைச்சொல் என்றால் என்ன?,தமிழில் முன்னுருபுகள் (preposition) கிடையாது. ஆனால் வேற்றுமை உருபுகள் (Case Suffixes) உண்டு.
What is a Conjunction?,இணைப்புச்சொல் என்றால் என்ன?,சொல் அல்லது சொற்றொடரை இணைக்கும் சொல்லாகும். காட்டு: Raja and Jhansi becomes ராஜாவும் ஜான்சியும். And என்பதற்கு தமிழில் “உம்” என்ற இணைப்புச்சொல் வரும்.
What is an Interjection?,வியப்பிடைச்சொல் என்றால் என்ன?,"ஆச்சரியம், கோபம், சோகம், மகிழ்ச்சி போன்ற உணர்ச்சிகளை வெளிப்படுத்தும் சொல். காட்டு: ஆஹா!, ஐயோ!, ஓ!"
,,
What is Nominative/Subjective case?,வேற்றுமை உருபு முதலாம் என்றால் என்ன?,பொருள் சொல்லுருபு இல்லை
What is Accusative case?,வேற்றுமை உருபு இரண்டாம் என்றால் என்ன?,ஐ செயப்படுபொருள் சொல்லுருபு இல்லை
What is Instrumental case?,வேற்றுமை உருபு மூன்றாம் என்றால் என்ன?,"ஆல், ஆன், ஒடு ஓடு உடன் நிகழ்ச்சி சொல்லுருபு இல்லை"
What is Dative case?,வேற்றுமை உருபு நான்காம் என்றால் என்ன?,"குகொடை, பகை, நட்பு, தகுதி, அதுவாதல், பொருட்டு, முறை உடைமை பொருள் இல்லை"
What is Ablative case?,வேற்றுமை உருபு ஐந்தாம் என்றால் என்ன?,"இல், இன் நீங்கல், ஒப்பு, எல்லை, ஏது இருந்து, நின்று, காட்டிலும், பார்க்கிலும் உடைமை பொருள் இல்லை"
What is Genitive/Possessive case?,வேற்றுமை உருபு ஆறாம் என்றால் என்ன?,அது உடைமைப் பொருள் இல்லை
What is Locative case?,வேற்றுமை உருபு ஏழாம் என்றால் என்ன?,"இடை, முன், இடம், மேல், கீழ், பின், உள், இல் உடை இல்லை"
What is Vocative case?,வேற்றுமை உருபு எட்டாம் என்றால் என்ன?,விளிப்பொருள் இல்லை
,,
What are the types of noun cases?,பெயர்ச்சொல் வகைகள் என்ன?,பொருள்களின் பெயர்களைக் குறிப்பது
What is Nominative case?,பொருள்களின் பெயர்களின் முதலாம் வகை என்றால் என்ன?,பொருட்பெயர் - பொருளைக் குறிக்கும்
What is Accusative case?,பொருள்களின் பெயர்களின் இரண்டாம் வகை என்றால் என்ன?,ஐ செயப்படுபொருள் சொல்லுருபு இல்லை
What is Instrumental case?,பொருள்களின் பெயர்களின் மூன்றாம் வகை என்றால் என்ன?,"இலான், கருத்தா உடன் நிகழ்ச்சி சொல்லுருபு இல்லை"
What is Genitive/Possessive case?,பொருள்களின் பெயர்களின் ஆறாம் வகை என்றால் என்ன?,அது உடைமைப் பொருள் இல்லை
What is Dative case?,பொருள்களின் பெயர்களின் ஐந்தாம் வகை என்றால் என்ன?,"குகொடை, பகை, நட்பு, தகுதி, அதுவாதல் உடைமை பொருள் இல்லை"
